valtable_id,definition,description,vss_type,vss_labels
INTERLOCKREQ,0:NO_LOCKOUT_PRESENT_AUTO_ALLOWED;1:TIME_OUT;2:MACHINE_SAFETY,Value table for INTERLOCKREQ,enum,NO_LOCKOUT_PRESENT_AUTO_ALLOWED|TIME_OUT|MACHINE_SAFETY
ACCEPT,0:NOT_ACCEPTED;1:ACCEPTED,Value table for ACCEPT,enum,NOT_ACCEPTED|ACCEPTED
SELMDHEARTBEAT,0:INITIALIZED;1:DISARMED;2:ARM_REQUESTED;3:DEACTIVATION;4:ACTIVATED,Value table for SELMDHEARTBEAT,enum,INITIALIZED|DISARMED|ARM_REQUESTED|DEACTIVATION|ACTIVATED
AMBLMPCOLORMD,0:USER_SETTING_COLOR;1:POWER_MODE_COLOR,Value table for AMBLMPCOLORMD,enum,USER_SETTING_COLOR|POWER_MODE_COLOR
PWRMDSEL,0:POWERPLUS;1:POWER;2:STANDARD;3:ECO,Value table for PWRMDSEL,enum,POWERPLUS|POWER|STANDARD|ECO
WRKMDSEL,0:DIG;1:LIFT;2:1WAY;3:2WAY,Value table for WRKMDSEL,enum,DIG|LIFT|1WAY|2WAY
DIALSTEP,0:STEP_1;1:STEP_2;2:STEP_3;3:STEP_4;4:STEP_5;5:STEP_6;6:STEP_7;7:STEP_8;8:STEP_9;9:STEP_10;10:STEP_11;11:STEP_12;12:STEP_13,Value table for DIALSTEP,enum,STEP_1|STEP_2|STEP_3|STEP_4|STEP_5|STEP_6|STEP_7|STEP_8|STEP_9|STEP_10|STEP_11|STEP_12|STEP_13
OBJINZONE,0:NO_OBJECT_IN_ZONE;1:LEVEL_C;2:LEVEL_B;3:LEVEL_A;7:NA,Value table for OBJINZONE,enum,NO_OBJECT_IN_ZONE|LEVEL_C|LEVEL_B|LEVEL_A
CONNECTED,0:NONE;1:NETWORK_CONNECTED;2:CLOUD_CONNECTED;3:NA,Value table for CONNECTED,enum,NETWORK_CONNECTED|CLOUD_CONNECTED
PROVISIONED,0:NONE;1:NETWORK_PROVISIONED;2:THING_PROVISIONED,Value table for PROVISIONED,enum,NETWORK_PROVISIONED|THING_PROVISIONED
ACTIVENW,0:NONE;1:CELL;2:WIFI;3:ERR,Value table for ACTIVENW,enum,CELL|WIFI
CELLANTTYPE,0:NONE;1:INTERNAL;2:EXTERNAL;3:NA,Value table for CELLANTTYPE,enum,INTERNAL|EXTERNAL
GSMTYPE,0:GPRS;1:EDGE;3:UMTS;4:HSDPA;5:HSUPA;6:HSDPA_HSUPA;7:1XRTT;8:1XEVDO;9:1XEVDO_REVA;10:1XEVDO_REVB;11:1XEVDV;12:3XRTT;13:UMB;14:LTE;15:5G_NSA;16:5G_SA,Value table for GSMTYPE,enum,GPRS|EDGE|UMTS|HSDPA|HSUPA|HSDPA_HSUPA|1XRTT|1XEVDO|1XEVDO_REVA|1XEVDO_REVB|1XEVDV|3XRTT|UMB|LTE|5G_NSA|5G_SA
ANTST,0:NORMAL;1:ERR1;2:ERR2;3:NA,Value table for ANTST,enum,NORMAL|ERR1|ERR2
NONEACTIVE,0:NONE;1:ACTIVE;2:INACTIVE,Value table for NONEACTIVE,enum,ACTIVE|INACTIVE
VHCST,0:BATTERY_DISCONNECT;1:KEY_OFF;2:KEY_ON;3:ACC_ON;4:ENGINE_ON;5:ERR,Value table for VHCST,enum,BATTERY_DISCONNECT|KEY_OFF|KEY_ON|ACC_ON|ENGINE_ON
STARTUPRSN,0:RTC;1:KEY;2:EMERGENCY;3:LOW_BATTERY;4:CELL;5:ACCELEROMETER;6:REBOOT_REQUEST,Value table for STARTUPRSN,enum,RTC|KEY|EMERGENCY|LOW_BATTERY|CELL|ACCELEROMETER|REBOOT_REQUEST
TMNST,0:INIT;1:RUNNING;2:SLEEP_MACHINE_BATTERY;3:SLEEP_TERMINAL_BATTERY;4:DEEP_SLEEP;5:DEAD_TBAT;6:SHUT_DOWN;7:MODULE_EXIT;8:POWER_OFF;9:TESTING;10:RESTART;11:EXIT,Value table for TMNST,enum,INIT|RUNNING|SLEEP_MACHINE_BATTERY|SLEEP_TERMINAL_BATTERY|DEEP_SLEEP|DEAD_TBAT|SHUT_DOWN|MODULE_EXIT|POWER_OFF|TESTING|RESTART|EXIT
VHCVLT,0:24V;1:12V,Value table for VHCVLT,enum,24V|12V
TASKST,0:OK;1:OFFLINE;2:PACKET_LOSS_FAIL;3:GENERAL_FAILURE,Value table for TASKST,enum,OK|OFFLINE|PACKET_LOSS_FAIL|GENERAL_FAILURE
ERCODE,0:NONE;1:SENSOR_VALUE_OUT_OF_RANGE;2:UNABLE_TO_PARSE_MESSAGE,Value table for ERCODE,enum,SENSOR_VALUE_OUT_OF_RANGE|UNABLE_TO_PARSE_MESSAGE
CMDOPCODE,16:TRANSFER_FILE;17:OPEN_CAN_TUNNEL;18:REBOOT;19:KWP_REQUEST;20:J1939_REQUEST;21:SECURITY_ACTION;22:REMOTE_GAUGE_ON;23:REQUEST_FILE;24:ADD_GEOFENCE;25:ADD_TIMEFENCE;26:SECURITY_CONFIGURATION;27:DELETE_GEOFENCE;28:DELETE_TIMEFENCE;29:REQUEST_REPORT;30:TURN_ON_REMOTE_TRACKING;31:SET_TIMEZONE;32:TURN_OFF_REMOTE_GAUGE;33:TURN_OFF_REMOTE_TRACKING;35:SET_DEFAULT_VEHICLE_TYPE;36:TEST_PORT_COMMAND;37:TEST_PORT_COMMAND_QUICK_RES;38:BULK_FIRMWARE_DOWNLOAD;39:BULK_CONFIGURATION_DOWNLOAD;40:SBDRANGERESPONSE;41:TESTPORTCOMMANDV4;42:ABORTCOMMAND;43:REQUEST_FILE_VERSION_2;47:SET_TIMEZONE_V2;160:REQUEST_CURRENT_ADT_LOG;161:SECURITY_VERIFICATION_COMMAND;163:J1939_REQUEST_V2;164:SMARTKEY_COMMAND;165:SET_DEFAULT_VEHICLE_TYPE_V2;176:TRANSFER_NETWORK_CONFIGURATION;177:REQUEST_FILE_V3,Value table for CMDOPCODE,enum,TRANSFER_FILE|OPEN_CAN_TUNNEL|REBOOT|KWP_REQUEST|J1939_REQUEST|SECURITY_ACTION|REMOTE_GAUGE_ON|REQUEST_FILE|ADD_GEOFENCE|ADD_TIMEFENCE|SECURITY_CONFIGURATION|DELETE_GEOFENCE|DELETE_TIMEFENCE|REQUEST_REPORT|TURN_ON_REMOTE_TRACKING|SET_TIMEZONE|TURN_OFF_REMOTE_GAUGE|TURN_OFF_REMOTE_TRACKING|SET_DEFAULT_VEHICLE_TYPE|TEST_PORT_COMMAND|TEST_PORT_COMMAND_QUICK_RES|BULK_FIRMWARE_DOWNLOAD|BULK_CONFIGURATION_DOWNLOAD|SBDRANGERESPONSE|TESTPORTCOMMANDV4|ABORTCOMMAND|REQUEST_FILE_VERSION_2|SET_TIMEZONE_V2|REQUEST_CURRENT_ADT_LOG|SECURITY_VERIFICATION_COMMAND|J1939_REQUEST_V2|SMARTKEY_COMMAND|SET_DEFAULT_VEHICLE_TYPE_V2|TRANSFER_NETWORK_CONFIGURATION|REQUEST_FILE_V3
ACKRESULT,0:SUCCESS;1:UNKNOWN_FAILURE;2:UNKNOWN_COMMAND;3:ENGINE_OFF;4:ALREADY_OPEN;5:TERMINATED_BY_USER;6:FAILED_TO_DOWNLOAD_FILE;7:FAILED_TO_UPLOAD_FILE;8:PROCESS_INTERRUPTED_BY_A_REBOOT;9:MCP_REQUESTED_EXITED;10:FAILED_TO_OPEN_FILE;11:FAILED_TO_DELETE_FILE;12:FAILED_TO_WRITE_FILE;13:FAILED_BAD_PARAMETER;14:FAILED_ALREADY_ACTIVE;15:FAILED_ALREADY_STOPPED;16:FAILED_SERVICE_NA;17:FAILED_MISSING_DEFINITION;18:FAILED_NOT_SUPPORTED;19:FAILED_AUTHENTICATION;20:FAILED_TO_SEND_PACKET;21:FAILED_FILE_NOT_FOUND;22:INSUFFICIENT_DISK_SPACE;23:FAILED_CURL_TIMEOUT;24:FAILED_DOWNLOAD_SIZE_MISMATCH;25:FAILED_DOWNLOAD_TIMEOUT;26:FAILED_TO_UNZIP;27:FAILED_RESULTS_FILE_MISSING;28:FAILED_DOWNLOAD_RECOVERY;29:MULTIPART_DOWNLOAD_START;30:MULTIPART_DOWNLOAD_OK;31:MULTIPART_DOWNLOAD_FAIL;32:MULTIPART_DOWN_STARTUP_FAILURE;33:MULTIPART_DOWNLOAD_ABORTED;34:FAILED_CURL_RECV_FAILURE;35:BULK_DOWNLOAD_IN_PROCESS;36:FAILED_BULK_DOWNLOAD;37:ABORT_BULK_DOWNLOAD;38:NUM_REQUEST_TYPES,Value table for ACKRESULT,enum,SUCCESS|UNKNOWN_FAILURE|UNKNOWN_COMMAND|ENGINE_OFF|ALREADY_OPEN|TERMINATED_BY_USER|FAILED_TO_DOWNLOAD_FILE|FAILED_TO_UPLOAD_FILE|PROCESS_INTERRUPTED_BY_A_REBOOT|MCP_REQUESTED_EXITED|FAILED_TO_OPEN_FILE|FAILED_TO_DELETE_FILE|FAILED_TO_WRITE_FILE|FAILED_BAD_PARAMETER|FAILED_ALREADY_ACTIVE|FAILED_ALREADY_STOPPED|FAILED_SERVICE_NA|FAILED_MISSING_DEFINITION|FAILED_NOT_SUPPORTED|FAILED_AUTHENTICATION|FAILED_TO_SEND_PACKET|FAILED_FILE_NOT_FOUND|INSUFFICIENT_DISK_SPACE|FAILED_CURL_TIMEOUT|FAILED_DOWNLOAD_SIZE_MISMATCH|FAILED_DOWNLOAD_TIMEOUT|FAILED_TO_UNZIP|FAILED_RESULTS_FILE_MISSING|FAILED_DOWNLOAD_RECOVERY|MULTIPART_DOWNLOAD_START|MULTIPART_DOWNLOAD_OK|MULTIPART_DOWNLOAD_FAIL|MULTIPART_DOWN_STARTUP_FAILURE|MULTIPART_DOWNLOAD_ABORTED|FAILED_CURL_RECV_FAILURE|BULK_DOWNLOAD_IN_PROCESS|FAILED_BULK_DOWNLOAD|ABORT_BULK_DOWNLOAD|NUM_REQUEST_TYPES
SYSOFFON,0:OFF;1:ON,Value table for SYS_OFFON,boolean,OFF|ON
ANTST2,0:NORMAL;1:ERR1;2:ERR2;3:ERR3,Value table for ANTST2,enum,NORMAL|ERR1|ERR2|ERR3
RMCTRLREQ,0:DISARMED;1:NORMAL;2:SERVICE;3:NOT DEFINED,Value table for RMCTRLREQ,enum,DISARMED|NORMAL|SERVICE|NOT DEFINED
RMITLREQ,0:NO_LOCKOUT_PRESENT_AUTO_ALLOWED;1:TIME OUT;2:MACHINE SAFETY;3:NOT DEFINED,Value table for RMITLREQ,enum,NO_LOCKOUT_PRESENT_AUTO_ALLOWED|TIME OUT|MACHINE SAFETY|NOT DEFINED
PWRPLUS,0:POWER+;1:POWER;2:STANDARD;3:ECO,Value table for PWRPLUS,enum,POWER+|POWER|STANDARD|ECO
MCHMAKER,0:HDI;1:HCE,Value table for MCHMAKER,enum,HDI|HCE
GNSSST,0:NORMAL;1:NOT_FIXED;2:RELEASE_ON_GA;3:ERR_EXCEEDED;4:GNSS_COMMUNICATION_ERR,Value table for GNSSST,enum,NORMAL|NOT_FIXED|RELEASE_ON_GA|ERR_EXCEEDED|GNSS_COMMUNICATION_ERR
SWGST,0:STOP;1:SWING;2:ERR;3:NA,Value table for SWGST,enum,STOP|SWING
MNSELFLV,0:OFF;1:MANUAL;2:SELF_LEVELING,Value table for MNSELFLV,enum,OFF|MANUAL|SELF_LEVELING
STATE2,0:OFF;1:STATE1;2:STATE2,Value table for STATE2,enum,OFF|STATE1|STATE2
STARTERFAIL,0:OFF;1:STARTER1_FAIL;2:STARTER2_FAIL,Value table for STARTERFAIL,enum,OFF|STARTER1_FAIL|STARTER2_FAIL
REFRESH,0:OFF;1:REFRESH,Value table for REFRESH,enum,OFF|REFRESH
RMST,0:MANUAL_MODE;1:REMOTE_MODE;2:ND,Value table for RMST,enum,MANUAL_MODE|REMOTE_MODE
RMMETHODST,0:REMOTE_CONTROL_STATION;1:REMOTE_CONTROL_APP;2:REMOTE_CONTROL_CONSOLE;3:ERR,Value table for RMMETHODST,enum,REMOTE_CONTROL_STATION|REMOTE_CONTROL_APP|REMOTE_CONTROL_CONSOLE
OBJSEQ,0:OBJECT1;1:OBJECT2;2:OBJECT3;3:OBJECT4;4:OBJECT5;5:OBJECT6;6:OBJECT7;7:OBJECT8;8:OBJECT9;9:OBJECT10,Value table for OBJSEQ,enum,OBJECT1|OBJECT2|OBJECT3|OBJECT4|OBJECT5|OBJECT6|OBJECT7|OBJECT8|OBJECT9|OBJECT10
OTAIM,0:DOWNLOAD;1:DOWNLOAD_COMPLETE;2:DOWNLOAD_FAILURE;3:INSTALL;4:CONTROLLER_REBOOTING;5:MACHINE_REBOOTING;6:INSTALL_COMPLETE;7:INSTALL_FAILURE_RETRIAL;8:OTA_FAILURE,Value table for OTAIM,enum,DOWNLOAD|DOWNLOAD_COMPLETE|DOWNLOAD_FAILURE|INSTALL|CONTROLLER_REBOOTING|MACHINE_REBOOTING|INSTALL_COMPLETE|INSTALL_FAILURE_RETRIAL|OTA_FAILURE
ECUMAKER2,0:ECU_MAKER_1;1:WEICHAI_6M33;2:BOSCH_DX22,Value table for ECUMAKER2,enum,ECU_MAKER_1|WEICHAI_6M33|BOSCH_DX22
DRVENGAGED,0:DRIVE_LINE_DISENGAGED;1:DRIVE_LINE_ENGAGED;2:ERR;3:NOT AVAILABLE,Value table for DRVENGAGED,enum,DRIVE_LINE_DISENGAGED|DRIVE_LINE_ENGAGED|NOT AVAILABLE
TRQCVT,0:TRQ_CVT_LOCKUP_DISENGAGED;1:TRQ_CVT_LOCKUP_ENGAGED,Value table for TRQCVT,enum,TRQ_CVT_LOCKUP_DISENGAGED|TRQ_CVT_LOCKUP_ENGAGED
PROCESS,0:NOT_IN_PROCESS;1:PROCESS,Value table for PROCESS,enum,NOT_IN_PROCESS|PROCESS
CONFIGMODE,0:OFF;1:ON_ANOMALY;2:ON_PERIODIC,Value table for CONFIGMODE,enum,OFF|ON_ANOMALY|ON_PERIODIC
OILSTATUS,0:NORMAL;1:WARNING;2:ABNORMAL;3:NA,Value table for OILSTATUS,enum,NORMAL|WARNING|ABNORMAL
RGST,0:NORMAL;2:WARNING,Value table for RGST,enum,NORMAL|WARNING
VALID,0:RTC;1:GPS;2:CELL;3:FALSE,Value table for VALID,enum,RTC|GPS|CELL|FALSE
SATTYPE,0:NONE;1:IRIDIUM,Value table for SATTYPE,enum,IRIDIUM
NORERR,0:NORMAL;1:ERR,Value table for NORERR,enum,NORMAL
EVNT,0:ENGINE_ON;1:HALF_HOUR;2:ENGINE_OFF;3:GET_REPORT;4:STATUS_CHANGE,Value table for EVNT,enum,ENGINE_ON|HALF_HOUR|ENGINE_OFF|GET_REPORT|STATUS_CHANGE
JOYPTN,0:ISO;1:BHL;2:MHI;3:KOBE;4:SCM;5:CTL ISO;6:CTL H,Value table for JOYPTN,enum,ISO|BHL|MHI|KOBE|SCM|CTL ISO|CTL H
STICKSTRTYPE,0:JOYSTICK_LEVER;1:THUMBWHEEL_STEERING,Value table for STICKSTRTYPE,enum,JOYSTICK_LEVER|THUMBWHEEL_STEERING
FNR,0:F;1:N;2:R,Value table for FNR,enum,F|N|R
LOGEVNT,0:LOG_DELETED;1:LOG_STARTED;2:LOG_IN_PROGRESS;3:LOG_GENERATED;4:REQUESTED,Value table for LOGEVNT,enum,LOG_DELETED|LOG_STARTED|LOG_IN_PROGRESS|LOG_GENERATED|REQUESTED
CONFIGEVNT,0:REQUESTED;1:MODIFIED;2:DELETED,Value table for CONFIGEVNT,enum,REQUESTED|MODIFIED|DELETED
JOYOPTPDL,0:NA;1:JOYSTICK;2:OPTION_PEDAL;3:JOYSTICK_OPTION_PEDAL,Value table for JOYOPTPDL,enum,JOYSTICK|OPTION_PEDAL|JOYSTICK_OPTION_PEDAL
TRVLSWG,0:TRAVEL_SWING;1:TRAVEL;2:SWING,Value table for TRVLSWG,enum,TRAVEL_SWING|TRAVEL|SWING
OPTRTTTYPE,0:NA;1:ENCON;3:STEELWRIST;4:ROTOTILT,Value table for OPTRTTTYPE,enum,ENCON|STEELWRIST|ROTOTILT
NORRVS,0:NORMAL;1:REVERSE,Value table for NORRVS,enum,NORMAL|REVERSE
WIPER,0:PARALLEL_WIPER;1:BASIC_WIPER;2:BASIC_WIPER_LOW_WIPER,Value table for WIPER,enum,PARALLEL_WIPER|BASIC_WIPER|BASIC_WIPER_LOW_WIPER
MGMC,0:NONE;1:2D_MACHINE_GUIDANCE;2:3D_MACHINE_GUIDANCE;3:2D_MACHINE_GUIDANCE_SMART_CTRL;4:3D_MACHINE_GUIDANCE_SMART_CTRL,Value table for MGMC,enum,2D_MACHINE_GUIDANCE|3D_MACHINE_GUIDANCE|2D_MACHINE_GUIDANCE_SMART_CTRL|3D_MACHINE_GUIDANCE_SMART_CTRL
FANTYPE,0:HYDRAULIC_FAN;1:FAN_CLUTCH;2:DIRECT_FAN,Value table for FANTYPE,enum,HYDRAULIC_FAN|FAN_CLUTCH|DIRECT_FAN
JOYFUNCBTN,0:NOT_USED;1:ONE_TOUCH_DECELERATION;2:BREAKER_OR_POWER_UP;3:TEMP_RESET_OF_INTEL_FLOAT_BOOM;4:WIPER;5:AUDIO_MUTE;11:WEIGHT_MEASUREMENT_ON_OFF;12:RE_MEASURE;13:CANCEL_BUCKET;14:LOAD_BUCKET;15:SAVE_TRUCK;16:RESET_TRUCK;41:SMART_BREAKER_ON_OFF;43:JOYSTICK_DRIVING_ON_OFF,Value table for JOYFUNCBTN,enum,NOT_USED|ONE_TOUCH_DECELERATION|BREAKER_OR_POWER_UP|TEMP_RESET_OF_INTEL_FLOAT_BOOM|WIPER|AUDIO_MUTE|WEIGHT_MEASUREMENT_ON_OFF|RE_MEASURE|CANCEL_BUCKET|LOAD_BUCKET|SAVE_TRUCK|RESET_TRUCK|SMART_BREAKER_ON_OFF|JOYSTICK_DRIVING_ON_OFF
AUTOBRKSS,125:VERY_HIGH;126:HIGH;127:SLIGHTLY_HIGH;128:MEDIUM;129:SLIGHTLY_LOW;130:LOW;131:VERY_LOW,Value table for AUTOBRKSS,enum,VERY_HIGH|HIGH|SLIGHTLY_HIGH|MEDIUM|SLIGHTLY_LOW|LOW|VERY_LOW
RTTSPDRATIO,4:STRONGLY_PREFER_BOOM;5:PREFER_BOOM;6:SLIGHLTY_PREFER_BOOM;7:EQUAL;8:SLIGHTLY_PREFER_SWING;9:PREFER_SWING;10:STRONGLY_PREFER_SWING,Value table for RTTSPDRATIO,enum,STRONGLY_PREFER_BOOM|PREFER_BOOM|SLIGHLTY_PREFER_BOOM|EQUAL|SLIGHTLY_PREFER_SWING|PREFER_SWING|STRONGLY_PREFER_SWING
JOYFUNCTHW,0:NOT_USED;1:TR_TILT;2:TR_ROTATE;10:SHARE;11:ROTATE;13:DOZER,Value table for JOYFUNCTHW,enum,NOT_USED|TR_TILT|TR_ROTATE|SHARE|ROTATE|DOZER
ALTEVNT,0:STATUS_CHANGE;1:GET_REPORT;2:FIRST_KEY_ON;3:FIRST_ENGINE_ON,Value table for ALTEVNT,enum,STATUS_CHANGE|GET_REPORT|FIRST_KEY_ON|FIRST_ENGINE_ON
EGOILGRD,0:SAE10W40,Value table for EGOILGRD,enum,SAE10W40
HYDOILGRD,0:VG32;1:VG46;2:VG68,Value table for HYDOILGRD,enum,VG32|VG46|VG68
EGDERATING,0:DERATING_CONTROL_OFF;1:DERATING_CONTROL_ON;2:ERR;3:NA,Value table for EGDERATING,enum,DERATING_CONTROL_OFF|DERATING_CONTROL_ON
TRACTIONCTRL,0:MAX;1:CONTROL_MODE;2:SLIP_MODE,Value table for TRACTIONCTRL,enum,MAX|CONTROL_MODE|SLIP_MODE
TRACTIONLVSEL,0:A;1:B;2:C,Value table for TRACTIONLVSEL,enum,A|B|C
RANGE,0:RANGE1;1:RANGE2;2:RANGE3,Value table for RANGE,enum,RANGE1|RANGE2|RANGE3
REQEGMD,0:ECO;1:NORMAL;2:POWER,Value table for REQEGMD,enum,ECO|NORMAL|POWER
JOYTYPESEL,0:ELECTRIC_TYPE;1:LOCKER_TYPE,Value table for JOYTYPESEL,enum,ELECTRIC_TYPE|LOCKER_TYPE
MAXSPDLMT,0:UNLIMIT;1:LIMIT,Value table for MAXSPDLMT,enum,UNLIMIT|LIMIT
AUTOSHIFT,0:AUTO_LOW_SPEED;1:AUTO_HIGH_SPEED,Value table for AUTOSHIFT,enum,AUTO_LOW_SPEED|AUTO_HIGH_SPEED
CHARGINGST,0:OFF;1:CHARGING;2:CHARGING_COMPLETE;3:FOD_STATUS,Value table for CHARGINGST,enum,OFF|CHARGING|CHARGING_COMPLETE|FOD_STATUS
STATESYB,0:OFF;1:STATE1_WHITE;2:STATE2_GREEN,Value table for STATESYB,enum,OFF|STATE1_WHITE|STATE2_GREEN
TMSHIFTMD,0:MANUAL;1:AUTO_LIGHT;2:AUTO_NORMAL;3:AUTO_HEAVY,Value table for TMSHIFTMD,enum,MANUAL|AUTO_LIGHT|AUTO_NORMAL|AUTO_HEAVY
TIPOFFASTST,0:OFF;1:DISABLE;2:WAIT;3:READY;4:IN_PROGRESS;5:COMPLETE;6:INTERUPT,Value table for TIPOFFASTST,enum,OFF|DISABLE|WAIT|READY|IN_PROGRESS|COMPLETE|INTERUPT
TIPOFFMNST,0:OFF;1:DISABLE;2:READY;3:IN_PROGRESS,Value table for TIPOFFMNST,enum,OFF|DISABLE|READY|IN_PROGRESS
VHCCHGST,0:OFF;1:READY_FOR_CHARGING;2:CHARGING;3:CANNOT_CHARGE,Value table for VHCCHGST,enum,OFF|READY_FOR_CHARGING|CHARGING|CANNOT_CHARGE
CHGTYPE,0:OFF;1:SLOW_CHARGING;2:FAST_CHARGING,Value table for CHGTYPE,enum,OFF|SLOW_CHARGING|FAST_CHARGING
NORON,0:NORMAL_STATUS;1:ON,Value table for NORON,enum,NORMAL_STATUS|ON
OBJID,0:OBJECT_10;1:OBJECT_9;2:OBJECT_8;3:OBJECT_7;4:OBJECT_6;5:OBJECT_5;6:OBJECT_4;7:OBJECT_3;8:OBJECT_2;9:OBJECT_1;10:OBJECT_0,Value table for OBJID,enum,OBJECT_10|OBJECT_9|OBJECT_8|OBJECT_7|OBJECT_6|OBJECT_5|OBJECT_4|OBJECT_3|OBJECT_2|OBJECT_1|OBJECT_0
OD,0:NO_OD_IN_ZONE_1;1:LEVEL_A;2:LEVEL_B;3:LEVEL_C;4:LEVEL_D,Value table for OD,enum,NO_OD_IN_ZONE_1|LEVEL_A|LEVEL_B|LEVEL_C|LEVEL_D
OVERTURNWARN,0:OFF;1:OVERTURN_WARNING_1;2:OVERTURN_WARNING_2,Value table for OVERTURNWARN,enum,OFF|OVERTURN_WARNING_1|OVERTURN_WARNING_2
MC3DREADY,0:NOT_READY;1:READY;2:MC_3D_CALIBRATION,Value table for MC3DREADY,enum,NOT_READY|READY|MC_3D_CALIBRATION
MC3DST,0:MANUAL;1:AUTO;2:AUTO_SUSPEND,Value table for MC3DST,enum,MANUAL|AUTO|AUTO_SUSPEND
OFFREADYON,0:OFF;1:READY;2:ON,Value table for OFFREADYON,enum,OFF|READY|ON
PHMOPT,0:NONE;1:BASIC;2:PREMIUM,Value table for PHMOPT,enum,BASIC|PREMIUM
